contribution_type,proposal_id,proposal_reference,proposal_title,proposal_votes_totalCount,proposal_createdAt,proposal_publishedAt,proposal_updatedAt,proposal_publicationStatus,proposal_trashedAt,proposal_trashedReason,proposal_link,proposal_author_id,proposal_author_username,proposal_author_isEmailConfirmed,proposal_author_email,proposal_author_userType_id,proposal_author_userType_name,proposal_status_name,proposal_estimation,proposal_category_name,proposal_theme_title,"Hap ou Noel ?","Votre fleuve préféré","Comme tu as choisi Hap et le Gange, je t'affiche cette question (dsl jui pas inspiré)","Par qui Hap a t-il été créé ?","Hap est-il un homme bon ?","Comment ça ce n'est pas un homme bon, comment oses-tu ?","Noel a t-il un rapport avec la fête de Noël ?","De quelle couleur est le chapeau de Noël ?","Plutôt Marvel ou DC ?","T'aimes bien Superman ?","T'aimes bien Batman ?","T'aimes bien Supergirl ?","T'aimes bien Iron Man ?","T'aimes bien Luke Cage ?","T'aimes bien Thor ?","C'est la fin mais j'affiche quand même des choix",proposal_formattedAddress,proposal_district_name,proposal_illustration,proposal_summary,proposal_description,proposal_votes_id,proposal_votes_createdAt,proposal_votes_publishedAt,proposal_votes_anonymous,proposal_votes_author_id,proposal_votes_author_username,proposal_votes_author_isEmailConfirmed,proposal_votes_ranking,proposal_votes_author_userType_id,proposal_votes_author_userType_name,proposal_comments_id,proposal_comments_body,proposal_comments_parent,proposal_comments_createdAt,proposal_comments_publishedAt,proposal_comments_updatedAt,proposal_comments_author_id,proposal_comments_author_username,proposal_comments_author_isEmailConfirmed,proposal_comments_author_userType_id,proposal_comments_author_userType_name,proposal_comments_author_email,proposal_comments_pinned,proposal_comments_publicationStatus,proposal_comments_vote_id,proposal_comments_vote_createdAt,proposal_comments_vote_publishedAt,proposal_comments_vote_published,proposal_comments_vote_author_id,proposal_comments_vote_author_username,proposal_comments_vote_author_isEmailConfirmed,proposal_comments_vote_author_userType_id,proposal_comments_vote_author_userType_name,proposal_news_id,proposal_news_title,proposal_news_themes,proposal_news_linkedProjects,proposal_news_linkedProposal,proposal_news_createdAt,proposal_news_updatedAt,proposal_news_publishedAt,proposal_news_publicationStatus,proposal_news_commentable,proposal_news_displayedOnBlog,proposal_news_authors_id,proposal_news_authors_username,proposal_news_authors_isEmailConfirmed,proposal_news_authors_userType_id,proposal_news_authors_userType_name,proposal_news_comments_id,proposal_news_comments_body,proposal_news_comments_parent,proposal_news_comments_createdAt,proposal_news_comments_updatedAt,proposal_news_comments_author_id,proposal_news_comments_author_username,proposal_news_comments_author_isEmailConfirmed,proposal_news_comments_author_userType_id,proposal_news_comments_author_userType_name,proposal_news_comments_author_email,proposal_news_comments_pinned,proposal_news_comments_publicationStatus,proposal_news_comments_vote_id,proposal_news_comments_vote_createdAt,proposal_news_comments_vote_publishedAt,proposal_news_comments_vote_published,proposal_news_comments_vote_author_id,proposal_news_comments_vote_author_username,proposal_news_comments_vote_author_isEmailConfirmed,proposal_news_comments_vote_author_userType_id,proposal_news_comments_vote_author_userType_name,proposal_news_comments_reportings_id,proposal_news_comments_reportings_createdAt,proposal_news_comments_reportings_published,proposal_news_comments_reportings_author_id,proposal_news_comments_reportings_author_username,proposal_news_comments_reportings_author_isEmailConfirmed,proposal_news_comments_reportings_author_userType_id,proposal_news_comments_reportings_author_userType_name,proposal_reportings_id,proposal_reportings_body,proposal_reportings_createdAt,proposal_reportings_author_id,proposal_reportings_author_username,proposal_reportings_author_isEmailConfirmed,proposal_reportings_author_userType_id,proposal_reportings_author_userType_name
proposal,UHJvcG9zYWw6cHJvcG9zYWw0OQ==,"""114-149""",Velit.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/velit,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Et dolorum et eius consequatur aliquid. Aliquid ea corporis id eius eos nihil laudantium modi. Molestias explicabo nihil tempore. Eius dolore reprehenderit beatae voluptatem neque rem velit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1MA==,"""114-150""",Vel.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/vel,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Est atque magni minima dolorem est iste libero. Inventore atque quas labore et excepturi. Corrupti excepturi autem eum et delectus nobis. Ex ullam qui est qui vero deserunt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1MQ==,"""114-151""",Eos.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/eos,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Eos excepturi et doloribus repellat qui consectetur qui. Id aut ad et illo consectetur quibusdam. Quia incidunt praesentium voluptatum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1Mg==,"""114-152""",Non.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/non,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Fugit repellat veritatis quo neque. Ut adipisci non vitae ut. Quam architecto tempora voluptatibus labore repellendus explicabo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1Mw==,"""114-153""",Esse.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/esse,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Ipsa eos enim velit eum quasi quos. Doloribus sed est nam quae rem dolorem. Omnis repellendus dolorem velit et enim dolores. Non non ea voluptatibus molestias minus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1NA==,"""114-154""",Autem.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/autem,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Et maxime iusto consequatur harum atque fuga. Sed et occaecati repellat a aut rerum perferendis. Sapiente saepe sint perspiciatis eos accusantium. Est et reiciendis consequatur et.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1NQ==,"""114-155""","Et in.",0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/et-in,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Ex quibusdam nobis similique modi ipsum. Ut doloribus et qui tenetur adipisci quo. Ea quis sed est libero. Ut placeat non eaque et.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1Ng==,"""114-156""",Sequi.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/sequi,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Ex aut repellendus dolorem consectetur rerum delectus. Beatae adipisci asperiores dolorum sit ducimus reiciendis. Modi quia quis minima vero voluptas. Debitis ut error ipsa sequi numquam.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1Nw==,"""114-157""",Est.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/est,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Ut consequatur minima sint totam sint consequatur quas. Rerum voluptatem ipsum reiciendis iste. A sit sapiente quia qui libero possimus ipsa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1OA==,"""114-158""",Animi.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/animi,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Itaque autem est maiores aut praesentium doloribus. Inventore incidunt necessitatibus rerum quibusdam corrupti. Molestiae harum quis culpa nostrum. Et magni quam magni.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw1OQ==,"""114-159""",Ad.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/ad,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Accusamus deleniti fugit sed tenetur. Enim rerum fugiat est eaque ratione ab. Aut adipisci praesentium assumenda fugit. Veritatis optio sed eos iure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw2MA==,"""114-160""",Esse.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/esse-1,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Sit harum eos ratione inventore. Nobis inventore a quidem incidunt voluptatem quae in. Rerum deleniti sint saepe nam harum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,UHJvcG9zYWw6cHJvcG9zYWw2MQ==,"""114-161""",Et.,0,"2018-03-01 00:00:00","2018-03-01 00:00:00","2018-03-01 00:00:00",PUBLISHED,,,https://capco.dev/projects/budget-participatif-rennes/collect/collecte-des-propositions-avec-questions/proposals/et,VXNlcjp1c2VyMQ==,lbrunet,1,lbrunet@jolicode.com,1,Citoyen,,,,,Hap,"Le gange","Ok comme bon te semble",JVC,Oui,"Si tu veux",Non,Rouge,Marvel,Oui,Oui,Oui,"Oui beaucoup","Oh que oui",Oui,D'accord,,,,,"Sequi velit itaque quisquam cum. Vel enim omnis tempora enim tenetur. Deserunt fugiat dignissimos dolor est ut occaecati rerum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
