type;contributions_id;contributions_author_id;contributions_consultation_title;contributions_section_title;contributions_title;contributions_bodyText;contributions_createdAt;contributions_updatedAt;contributions_url;contributions_published;contributions_trashed;contributions_trashedStatus;contributions_trashedAt;contributions_trashedReason;contributions_votesCount;contributions_votesCountOk;contributions_votesCountMitige;contributions_votesCountNok;contributions_argumentsCount;contributions_argumentsCountFor;contributions_argumentsCountAgainst;contributions_sourcesCount;contributions_versionsCount;contributions_context_element_title;contributions_context_element_bodyText;contributions_votes_id;contributions_votes_related_id;contributions_votes_author_id;contributions_votes_value;contributions_votes_createdAt;contributions_arguments_related_id;contributions_arguments_related_kind;contributions_arguments_id;contributions_arguments_author_id;contributions_arguments_type;contributions_arguments_body;contributions_arguments_createdAt;contributions_arguments_updatedAt;contributions_arguments_url;contributions_arguments_published;contributions_arguments_trashed;contributions_arguments_trashedStatus;contributions_arguments_trashedAt;contributions_arguments_trashedReason;contributions_arguments_votesCount;contributions_reportings_related_id;contributions_reportings_related_kind;contributions_reportings_id;contributions_reportings_author_id;contributions_reportings_type;contributions_reportings_body;contributions_reportings_createdAt;contributions_sources_id;contributions_sources_related_id;contributions_sources_related_kind;contributions_sources_author_id;contributions_sources_trashed;contributions_sources_trashedStatus;contributions_sources_trashedAt;contributions_sources_trashedReason;contributions_sources_body;contributions_sources_createdAt;contributions_sources_updatedAt;contributions_sources_published;contributions_sources_votesCount;contribution_versions_id;contribution_versions_title;contribution_versions_bodyText;contribution_versions_createdAt;contribution_versions_updatedAt
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion36;opinion;argument158;VXNlcjp1c2VyMw==;FOR;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-08 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-36#arg-argument158;1;1;INVISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion36;opinion;argument133;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-14 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-36#arg-argument133;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion33;VXNlcjp1c2VyMzM=;Défaut;"Les causes";"Opinion 33";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:33:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-33;1;;;;;0;0;0;0;3;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion33;opinion;argument180;VXNlcjp1c2VyMg==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-30 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-33#arg-argument180;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion33;opinion;argument155;VXNlcjp1c2VyMw==;FOR;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-05 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-33#arg-argument155;1;1;INVISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion33;opinion;argument130;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-11 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-33#arg-argument130;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion32;VXNlcjp1c2VyMzI=;Défaut;"Les causes";"Opinion 32";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:32:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-32;1;;;;;0;0;0;0;3;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion32;opinion;argument179;VXNlcjp1c2VyMg==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-29 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-32#arg-argument179;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion32;opinion;argument154;VXNlcjp1c2VyMw==;FOR;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-04 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-32#arg-argument154;1;1;INVISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion32;opinion;argument129;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-10 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-32#arg-argument129;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion31;VXNlcjp1c2VyMzE=;Défaut;"Les causes";"Opinion 31";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:31:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-31;1;;;;;0;0;0;0;3;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion31;opinion;argument178;VXNlcjp1c2VyMg==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-28 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-31#arg-argument178;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion31;opinion;argument153;VXNlcjp1c2VyMw==;FOR;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-03 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-31#arg-argument153;1;1;INVISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion31;opinion;argument128;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-09 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-31#arg-argument128;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion30;VXNlcjp1c2VyMzA=;Défaut;"Les causes";"Opinion 30";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:30:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-30;1;;;;;0;0;0;0;3;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion30;opinion;argument177;VXNlcjp1c2VyMg==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-27 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-30#arg-argument177;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion30;opinion;argument152;VXNlcjp1c2VyMw==;FOR;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-02 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-30#arg-argument152;1;1;INVISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion30;opinion;argument127;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-08 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-30#arg-argument127;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion29;VXNlcjp1c2VyMjk=;Défaut;"Les causes";"Opinion 29";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:29:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-29;1;;;;;0;0;0;0;3;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion29;opinion;argument176;VXNlcjp1c2VyMg==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-26 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-29#arg-argument176;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion29;opinion;argument151;VXNlcjp1c2VyMw==;FOR;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-06-01 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-29#arg-argument151;1;1;INVISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion29;opinion;argument126;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-07 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-29#arg-argument126;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion27;VXNlcjp1c2VyMjc=;Défaut;"Les causes";"Opinion 27";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:27:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-27;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion27;opinion;argument124;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-05 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-27#arg-argument124;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion25;VXNlcjp1c2VyMjU=;Défaut;"Les causes";"Opinion 25";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:25:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-25;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion25;opinion;argument122;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-03 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-25#arg-argument122;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion23;VXNlcjp1c2VyMjM=;Défaut;"Les causes";"Opinion 23";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:23:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-23;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion23;opinion;argument120;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-05-01 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-23#arg-argument120;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion22;VXNlcjp1c2VyMjI=;Défaut;"Les causes";"Opinion 22";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:22:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-22;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion22;opinion;argument119;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-04-30 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-22#arg-argument119;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion20;VXNlcjp1c2VyMjA=;Défaut;"Les causes";"Opinion 20";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:20:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-20;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion20;opinion;argument117;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-04-28 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-20#arg-argument117;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion19;VXNlcjp1c2VyMTk=;Défaut;"Les causes";"Opinion 19";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:19:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-19;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion19;opinion;argument116;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-04-27 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-19#arg-argument116;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion16;VXNlcjp1c2VyMTY=;Défaut;"Les causes";"Opinion 16";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:16:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-16;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion16;opinion;argument113;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-04-24 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-16#arg-argument113;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion15;VXNlcjp1c2VyMTU=;Défaut;"Les causes";"Opinion 15";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:15:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-15;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
argument;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;opinion15;opinion;argument112;VXNlcjp1c2VyNQ==;AGAINST;"<p>Quaerat quia sunt impedit labore minima fugiat praesentium. Occaecati ad sunt officia rerum ex enim necessitatibus.</p>";"2015-04-23 00:00:00";"2017-01-01 00:00:00";https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-15#arg-argument112;1;1;VISIBLE;"2017-03-01 00:00:00";;0;;;;;;;;;;;;;;;;;;;;;;;;;
opinion;opinion13;VXNlcjp1c2VyMTM=;Défaut;"Les causes";"Opinion 13";"Magni voluptates harum modi tempore quis numquam. Est atque nulla rerum et aut aut fugit.";"2018-03-01 00:13:00";;https://capco.dev/consultations/croissance-innovation-disruption/consultation/collecte-des-avis/opinions/les-causes/opinion-13;1;;;;;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
