id,published,published_at,author,author_id,author_email,phone,created_at,updated_at,anonymous,draft,undraft_at,account,noAccount_email,noAccount_email_isConfirmed,internalComm,"Êtes-vous satisfait que la ville de Paris soit candidate à l'organisation des JO de 2024 ?","Pour quel type d'épreuve êtes vous prêt à acheter des places ?","Quel est ton athlète favori ?","Nelson Monfort parle-t-il:","Classez vos choix","Choissez le meilleur logo","Est-ce que Martoni a encore une balle dans son chargeur ?","Nouvelle section 1","Nouvelle section 2","Comment trouvez vous le jeu de weeb Genshin Impact ?","Votre catégorie socio-professionnel"
replyMajority20,Yes,"2016-03-02 00:00:00",user20,user20,user20@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",No,No,,Yes,,,No,,,,,,,,,,global-not-passable,
replyMajority6,Yes,"2016-03-02 00:00:00",user6,user6,user6@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",No,No,,Yes,,,No,,,,,,,,,,very-well,
replyMajority7,Yes,"2016-03-02 00:00:00",user7,user7,user7@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",No,No,,Yes,,,No,,,,,,,,,,very-well,
replyMajority8,Yes,"2016-03-02 00:00:00",user8,user8,user8@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",No,No,,Yes,,,No,,,,,,,,,,very-well,
replyMajority9,Yes,"2016-03-02 00:00:00",user9,user9,user9@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",No,No,,Yes,,,No,,,,,,,,,,very-well,
replyPrivate,Yes,"2019-03-20 00:00:00",user,user5,user@test.com,+33635492871,"2019-03-20 00:00:00","2019-03-20 00:00:00",Yes,No,"2019-03-20 00:00:00",Yes,,,No,,,,,,,,,,,
replyUnpublished,No,,user,user5,user@test.com,+33635492871,"2019-03-20 00:00:00","2019-03-20 00:00:00",No,No,,Yes,,,No,,,,,,,,,,,
replyUnpublishedAndDraft,No,,user,user5,user@test.com,+33635492871,"2019-03-20 00:00:00","2019-03-20 00:00:00",No,Yes,,Yes,,,No,,,,,,,,,,,
tagCloudReply1,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Incroyable ! Tout ces sportifs la wow.","Athlétisme;Sports collectifs;Total War 2: Warhammer",,,,,,,,,
tagCloudReply10,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Enfin un peu de divertissement. Car le divertissement c'est bien à la maison.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. J",,,,,,,,,
tagCloudReply11,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"L'autre jour j'étais à la boulangerie des sportifs, des sportifs ? Oui mec des sportifs. Jure des sportifs ? Oui oui des sportfs qui font du sport et du bruit et des phrases un peu longues pour le divertissement à Paris, cette phrase va plus vouloir rien dire mais c'est pas mal et ça régale.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. T",,,,,,,,,
tagCloudReply12,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Aller encore une autre phrase un peu longue parce que bon il faut bien tester tout les cas, comme le cas K , et le cas K des lapins c'est caca, c'est incroyable et fou non comme le lundi à Paris","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. M",,,,,,,,,
tagCloudReply13,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Une autre phrase, parce que le mot phrase il va finir par pas mal remonté au final dans toutes ces réponses qui sont censées être liées au sport. Mais bon a cause du covid y'a plus trop de sport en vrai ou alors tu en fait à la maison mais c'est un peu ghetto quand même tu trouve pas ?","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. B",,,,,,,,,
tagCloudReply14,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"D'ailleurs en parlant de sports et de sportifs, je suis toujours aussi dégouté que l'escalade ce soit toujours fermé ça se trouve en 2024 ça aurait pu être moi aux JO à flex sur des murs de fou la. Je continue à remplir un peu cette ligne histoire de faire genre je suis une longue phrase de sportif.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. G",,,,,,,,,
tagCloudReply15,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Et une petite dernière pour la route quand même juste pour vous demandez comment vous allez ? Et la je rajoute des petits mots clés tels que : sportifs, sport, JO, athlètes, beurre de cacahuète, bruit, divertissement, sirop d'érable, une bouteille d'huile et des raviolis mais je crois que je viens de lire ma liste de course en même temps.","Athlétisme;Sports collectifs;Bon chance Agui pour le nuage de mots. !",,,,,,,,,
tagCloudReply2,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Oui c'est vraiment trop cool.","Athlétisme;Sports collectifs;Total War: Three Kingdoms ",,,,,,,,,
tagCloudReply3,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Ca va être fou ! Des sportifs de hauts niveaux.","Athlétisme;Sports collectifs;Total War Saga: Troy",,,,,,,,,
tagCloudReply4,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"C'est génial ! On va se régaler. mais","Athlétisme;Sports collectifs;Total War: Warhammer",,,,,,,,,
tagCloudReply5,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Il va y avoir du divertissement ! Et des sportifs ou !","Athlétisme;Sports collectifs;Total War: Rome",,,,,,,,,
tagCloudReply6,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Incroyable ! Tout ces sportifs la wow. est","Athlétisme;Sports collectifs;Total War: Britannia",,,,,,,,,
tagCloudReply7,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Bof, non pas trop ça va faire du bruit Donc !","Athlétisme;Sports collectifs;Total War 3: Warhammer",,,,,,,,,
tagCloudReply8,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Pas trop non plus, j'aime pas le sport. or","Athlétisme;Sports collectifs;Plus d'idées de jeux.",,,,,,,,,
tagCloudReply9,Yes,"2020-01-12 00:00:00",user150,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",No,No,"2020-01-12 00:00:00",Yes,,,No,"Le sport c'est cool","Athlétisme;Sports collectifs;Un jeu stylé de fou.",,,,,,,,,
