export_contribution_type,export_proposal_id,export_proposal_published_at,export_proposal_reference,export_proposal_title,export_proposal_summary,export_proposal_description,export_proposal_author_id,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"No Mes Démarches","No IRIS","Raison sociale",export_proposal_estimation,export_proposal_illustration,export_proposal_link,export_proposal_status_name,export_proposal_created_at,export_proposal_updated_at,export_proposal_publication_status,export_proposal_undraft_at,export_proposal_trashed_at,export_proposal_trashed_reason,export_proposal_author_username,export_proposal_author_is_email_confirmed,export_proposal_author_email,export_proposal_author_user_type_id,export_proposal_author_user_type_name,export_proposal_official_response,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_votes_published_at,export_proposal_votes_published,export_proposal_votes_accounted,export_proposal_votes_anonymous,export_proposal_votes_author_id,export_proposal_votes_author_username,export_proposal_votes_author_is_email_confirmed,export_proposal_votes_author_is_phone_confirmed,export_proposal_votes_author_user_type_id,export_proposal_votes_author_user_type_name,export_proposal_comments_id,export_proposal_comments_body,export_proposal_comments_created_at,export_proposal_comments_published_at,export_proposal_comments_updated_at,export_proposal_comments_author_id,export_proposal_comments_author_username,export_proposal_comments_author_is_email_confirmed,export_proposal_comments_author_user_type_id,export_proposal_comments_author_user_type_name,export_proposal_comments_author_email,export_proposal_comments_pinned,export_proposal_comments_publication_status,export_proposal_comments_vote_id,export_proposal_comments_vote_created_at,export_proposal_comments_vote_published_at,export_proposal_comments_vote_author_id,export_proposal_comments_vote_author_username,export_proposal_comments_vote_author_is_email_confirmed,export_proposal_comments_vote_author_user_type_id,export_proposal_comments_vote_author_user_type_name,export_proposal_news_id,export_proposal_news_title,export_proposal_news_themes,export_proposal_news_linked_projects,export_proposal_news_linked_proposal,export_proposal_news_created_at,export_proposal_news_updated_at,export_proposal_news_published_at,export_proposal_news_publication_status,export_proposal_news_commentable,export_proposal_news_displayed_on_blog,export_proposal_news_authors_id,export_proposal_news_authors_username,export_proposal_news_authors_is_email_confirmed,export_proposal_news_authors_user_type_id,export_proposal_news_authors_user_type_name,export_proposal_news_comments_id,export_proposal_news_comments_body,export_proposal_news_comments_parent,export_proposal_news_comments_created_at,export_proposal_news_comments_published_at,export_proposal_news_comments_updated_at,export_proposal_news_comments_author_id,export_proposal_news_comments_author_username,export_proposal_news_comments_author_is_email_confirmed,export_proposal_news_comments_author_user_type_id,export_proposal_news_comments_author_user_type_name,export_proposal_news_comments_author_email,export_proposal_news_comments_pinned,export_proposal_news_comments_publication_status,export_proposal_news_comments_vote_id,export_proposal_news_comments_vote_created_at,export_proposal_news_comments_vote_published_at,export_proposal_news_comments_vote_author_id,export_proposal_news_comments_vote_author_username,export_proposal_news_comments_vote_author_is_email_confirmed,export_proposal_news_comments_vote_author_user_type_id,export_proposal_news_comments_vote_author_user_type_name,export_proposal_news_comments_reportings_id,export_proposal_news_comments_reportings_created_at,export_proposal_news_comments_reportings_author_id,export_proposal_news_comments_reportings_author_username,export_proposal_news_comments_reportings_author_is_email_confirmed,export_proposal_news_comments_reportings_author_user_type_id,export_proposal_news_comments_reportings_author_user_type_name,export_proposal_reportings_id,export_proposal_reportings_body,export_proposal_reportings_created_at,export_proposal_reportings_author_id,export_proposal_reportings_author_username,export_proposal_reportings_author_is_email_confirmed,export_proposal_reportings_author_user_type_id,export_proposal_reportings_author_user_type_name
export_contribution_type_proposal,proposalLocation105,"2023-04-01 09:47:37","""22-626929""","Beatae veritatis illum enim.",,"Culpa ea dolore sit placeat laudantium. Qui voluptatibus aliquam nam sit doloremque omnis nesciunt. Unde blanditiis commodi earum. Porro ipsa est vitae quia.",user5,0,0,0,0,0,0,"Santé environnementale",Immobilier,"Fake address, 75006 Paris, France",48.33364,2.8372,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/beatae-veritatis-illum-enim?_locale=fr-FR,,"2023-04-01 09:47:37","2023-04-01 09:47:37",export_proposal_publication_status_published,"2023-04-01 09:47:37",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation106,"2022-07-02 06:15:30","""22-792711""","Molestias ea iste maxime non animi nisi fugit magnam.",,"Aut expedita labore consequatur et officia iusto. Quasi cumque debitis fuga necessitatibus asperiores. Aut officiis autem consectetur delectus laudantium maxime. Ducimus quo qui cum temporibus impedit dignissimos quo.",user5,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire","Thème vide","Fake address, 75006 Paris, France",48.47623,3.08869,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/molestias-ea-iste-maxime-non-animi-nisi-fugit-magnam?_locale=fr-FR,,"2022-07-02 06:15:30","2022-07-02 06:15:30",export_proposal_publication_status_published,"2022-07-02 06:15:30",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation107,"2022-12-02 23:10:32","""22-302829""","Sint et quibusdam corporis ratione dolor nihil non.",,"Nesciunt iusto sed numquam natus. Delectus incidunt quod corrupti dolores. Assumenda tempore molestiae ut quia omnis veniam omnis.",user5,0,0,0,0,0,0,"Santé environnementale",Transport,"Fake address, 75006 Paris, France",49.14231,2.19841,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/sint-et-quibusdam-corporis-ratione-dolor-nihil-non?_locale=fr-FR,,"2022-12-02 23:10:32","2022-12-02 23:10:32",export_proposal_publication_status_published,"2022-12-02 23:10:32",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation108,"2022-10-08 23:27:18","""22-799969""","Repellendus laboriosam enim est eaque et aspernatur voluptas.",,"Sequi culpa corporis reprehenderit et impedit et hic est. Veniam numquam esse id minima soluta. Explicabo rerum adipisci consequatur ab molestiae quod libero. Similique culpa ab rerum consequuntur.",user5,0,0,0,0,0,0,"Espaces verts et biodiversité","Thème vide","Fake address, 75006 Paris, France",48.40471,3.00933,"Val de marne (94) (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/repellendus-laboriosam-enim-est-eaque-et-aspernatur-voluptas?_locale=fr-FR,,"2022-10-08 23:27:18","2022-10-08 23:27:18",export_proposal_publication_status_published,"2022-10-08 23:27:18",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation109,"2022-06-16 13:52:55","""22-550733""","Excepturi iusto nam at quas numquam iste nemo.",,"Iusto recusandae repudiandae natus dolores. Voluptatem eos nihil voluptate. Est repellat voluptatem in id dolores et odio. Exercitationem distinctio officia suscipit ab. Fugiat quas quia id est.",user5,0,0,0,0,0,0,"Vélo et mobilités propres",Transport,"Fake address, 75006 Paris, France",48.53947,2.50191,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/excepturi-iusto-nam-at-quas-numquam-iste-nemo?_locale=fr-FR,,"2022-06-16 13:52:55","2022-06-16 13:52:55",export_proposal_publication_status_published,"2022-06-16 13:52:55",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation11,"2023-02-20 08:19:58","""22-344176""","Sit dolore ad sunt.",,"Itaque cumque officiis ut quis quisquam consequatur asperiores. Magnam nostrum ea corrupti. Molestiae cupiditate rerum ratione rerum. Ducimus nulla voluptatem aperiam ipsa eius repellat adipisci. Voluptas doloremque esse dolor qui illo placeat harum voluptatem.",user5,0,0,0,0,0,0,"Propreté, prévention et gestion des déchets, économie circulaire",Immobilier,"Fake address, 75006 Paris, France",48.72717,2.10014,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/sit-dolore-ad-sunt?_locale=fr-FR,,"2023-02-20 08:19:58","2023-02-20 08:19:58",export_proposal_publication_status_published,"2023-02-20 08:19:58",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation110,"2023-01-21 08:33:37","""22-598312""","Delectus velit voluptas et quos amet.",,"Molestiae voluptate labore in voluptas. Ipsam atque facilis enim voluptatem. Quisquam odio optio occaecati. Quis vitae autem est optio eaque.",user5,0,0,0,0,0,0,"Énergies renouvelables et efficacité énergétique",Immobilier,"Fake address, 75006 Paris, France",48.9579,3.06066,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/delectus-velit-voluptas-et-quos-amet?_locale=fr-FR,,"2023-01-21 08:33:37","2023-01-21 08:33:37",export_proposal_publication_status_published,"2023-01-21 08:33:37",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation111,"2023-01-15 06:30:26","""22-792067""","Incidunt quibusdam eos consequatur provident et porro adipisci aut.",,"Dolorum aliquid magnam eaque magni voluptates repellat magnam. Nemo totam doloribus culpa unde. Dolor et a quisquam qui. Culpa voluptatum error eius nam cupiditate. Quaerat ut nemo harum aut.",user5,0,0,0,0,0,0,"Espaces verts et biodiversité",Justice,"Fake address, 75006 Paris, France",48.83507,3.34428,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/incidunt-quibusdam-eos-consequatur-provident-et-porro-adipisci-aut?_locale=fr-FR,,"2023-01-15 06:30:26","2023-01-15 06:30:26",export_proposal_publication_status_published,"2023-01-15 06:30:26",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation112,"2022-04-27 10:14:08","""22-576491""","Est eos aut aut deleniti ut.",,"Ipsum quia vel minus. Et officiis soluta non corporis rerum facere rem. Beatae provident dolorum cumque sit et. Repellendus aut veritatis molestias ullam perspiciatis. Dolorum sequi quia doloremque earum vitae in. Dolores ratione eos rerum nesciunt sapiente aspernatur iste repellendus.",user5,0,0,0,0,0,0,"Santé environnementale","Thème vide","Fake address, 75006 Paris, France",48.18217,2.09601,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/est-eos-aut-aut-deleniti-ut?_locale=fr-FR,,"2022-04-27 10:14:08","2022-04-27 10:14:08",export_proposal_publication_status_published,"2022-04-27 10:14:08",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation113,"2023-01-14 12:03:41","""22-259161""","Laudantium et cum et enim odit.",,"Consequuntur aliquid aut suscipit laudantium sint natus. Dolor itaque consequuntur aut architecto commodi et. Sed numquam sapiente ut iusto nostrum. Quae voluptates dolorem molestiae aliquam maiores quia. Ea voluptas aut qui placeat.",user5,0,0,0,0,0,0,"Santé environnementale",Immobilier,"Fake address, 75006 Paris, France",48.4961,3.15397,"Val de marne (94) (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/laudantium-et-cum-et-enim-odit?_locale=fr-FR,,"2023-01-14 12:03:41","2023-01-14 12:03:41",export_proposal_publication_status_published,"2023-01-14 12:03:41",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal,proposalLocation114,"2022-10-15 20:27:48","""22-656239""","Eligendi quis rem nemo natus architecto eum et.",,"Voluptatem ut non libero et. Voluptas rerum atque corporis debitis commodi pariatur velit ea. Illo dignissimos sit pariatur ea dolor exercitationem. Quidem nesciunt adipisci sunt corrupti quaerat. Aut quia quod modi voluptas.",user5,0,0,0,0,0,0,"Santé environnementale","Thème vide","Fake address, 75006 Paris, France",49.1974,1.83816,"Toute la région (IDF BP3)",,,,,,https://capco.dev/project/budget-participatif-idf-3/collect/collecte-des-projets-idf-brp-3/proposals/eligendi-quis-rem-nemo-natus-architecto-eum-et?_locale=fr-FR,,"2022-10-15 20:27:48","2022-10-15 20:27:48",export_proposal_publication_status_published,"2022-10-15 20:27:48",,,user,Oui,user@test.com,1,Citoyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
