export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_votes,export_user_total_proposals,user_votes_proposal_ids,export_proposal_votes_id,export_proposal_votes_ranking,export_proposal_votes_created_at,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_votes_total_count,export_proposal_votes_digital_count,export_proposal_votes_paper_count,export_proposal_votes_total_points_count,export_proposal_votes_digital_points_count,export_proposal_votes_paper_points_count,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Nouvelle section 3","Evaluez l'importance de votre proposition","Evaluez le coût de votre proposition",Documents,Bilans,export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal_vote,user9,user9,user9@cap-collectif.com,Oui,,,firstname9,lastname9,,,,,,,1,0,,1006,1,"2017-02-01 00:09:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user10,user10,user10@cap-collectif.com,Oui,,,firstname10,lastname10,,,,,,,1,0,,1007,1,"2017-02-01 00:10:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user11,user11,user11@cap-collectif.com,Oui,,,firstname11,lastname11,,,,,,,1,0,,1008,1,"2017-02-01 00:11:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user12,user12,user12@cap-collectif.com,Oui,,,firstname12,lastname12,,,,,,,1,0,,1009,1,"2017-02-01 00:12:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user13,user13,user13@cap-collectif.com,Oui,,,firstname13,lastname13,,,,,,,1,0,,1010,1,"2017-02-01 00:13:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user14,user14,user14@cap-collectif.com,Oui,,,firstname14,lastname14,,,,,,,1,0,,1011,1,"2017-02-01 00:14:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user15,user15,user15@cap-collectif.com,Oui,,,firstname15,lastname15,,,,,,,1,0,,1012,1,"2017-02-01 00:15:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user16,user16,user16@cap-collectif.com,Oui,,,firstname16,lastname16,,,,,,,1,0,,1013,1,"2017-02-01 00:16:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user17,user17,user17@cap-collectif.com,Oui,,,firstname17,lastname17,,,,,,,1,0,,1014,1,"2017-02-01 00:17:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user18,user18,user18@cap-collectif.com,Oui,,,firstname18,lastname18,,,,,,,1,0,,1015,1,"2017-02-01 00:18:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user19,user19,user19@cap-collectif.com,Oui,,,firstname19,lastname19,,,,,,,1,0,,1016,1,"2017-02-01 00:19:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user20,user20,user20@cap-collectif.com,Oui,,,firstname20,lastname20,,,,,,,1,0,,1017,1,"2017-02-01 00:20:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user21,user21,user21@cap-collectif.com,Oui,,,firstname21,lastname21,,,,,,,1,0,,1018,1,"2017-02-01 00:21:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user22,user22,user22@cap-collectif.com,Oui,,,firstname22,lastname22,,,,,,,1,0,,1019,1,"2017-02-01 00:22:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user23,user23,user23@cap-collectif.com,Oui,,,firstname23,lastname23,,,,,,,1,0,,1020,1,"2017-02-01 00:23:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user24,user24,user24@cap-collectif.com,Oui,,,firstname24,lastname24,,,,,,,1,0,,1021,1,"2017-02-01 00:24:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user25,user25,user25@cap-collectif.com,Oui,,,firstname25,lastname25,,,,,,,1,0,,1022,1,"2017-02-01 00:25:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user26,user26,user26@cap-collectif.com,Oui,,,firstname26,lastname26,,,,,,,1,0,,1023,1,"2017-02-01 00:26:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user27,user27,user27@cap-collectif.com,Oui,,,firstname27,lastname27,,,,,,,1,0,,1024,1,"2017-02-01 00:27:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user28,user28,user28@cap-collectif.com,Oui,,,firstname28,lastname28,,,,,,,1,0,,1025,1,"2017-02-01 00:28:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user29,user29,user29@cap-collectif.com,Oui,,,firstname29,lastname29,,,,,,,1,0,,1026,1,"2017-02-01 00:29:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user30,user30,user30@cap-collectif.com,Oui,,,firstname30,lastname30,,,,,,,1,0,,1027,1,"2017-02-01 00:30:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user31,user31,user31@cap-collectif.com,Oui,,,firstname31,lastname31,,,,,,,1,0,,1028,1,"2017-02-01 00:31:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user32,user32,user32@cap-collectif.com,Oui,,,firstname32,lastname32,,,,,,,1,0,,1029,1,"2017-02-01 00:32:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user33,user33,user33@cap-collectif.com,Oui,,,firstname33,lastname33,,,,,,,1,0,,1030,1,"2017-02-01 00:33:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user34,user34,user34@cap-collectif.com,Oui,,,firstname34,lastname34,,,,,,,1,0,,1031,1,"2017-02-01 00:34:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user35,user35,user35@cap-collectif.com,Oui,,,firstname35,lastname35,,,,,,,1,0,,1032,1,"2017-02-01 00:35:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user36,user36,user36@cap-collectif.com,Oui,,,firstname36,lastname36,,,,,,,1,0,,1033,1,"2017-02-01 00:36:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user37,user37,user37@cap-collectif.com,Oui,,,firstname37,lastname37,,,,,,,1,0,,1034,1,"2017-02-01 00:37:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user38,user38,user38@cap-collectif.com,Oui,,,firstname38,lastname38,,,,,,,1,0,,1035,1,"2017-02-01 00:38:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user39,user39,user39@cap-collectif.com,Oui,,,firstname39,lastname39,,,,,,,1,0,,1036,1,"2017-02-01 00:39:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user40,user40,user40@cap-collectif.com,Oui,,,firstname40,lastname40,,,,,,,1,0,,1037,1,"2017-02-01 00:40:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user41,user41,user41@cap-collectif.com,Oui,,,firstname41,lastname41,,,,,,,1,0,,1038,1,"2017-02-01 00:41:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user42,user42,user42@cap-collectif.com,Oui,,,firstname42,lastname42,,,,,,,1,0,,1039,1,"2017-02-01 00:42:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user43,user43,user43@cap-collectif.com,Oui,,,firstname43,lastname43,,,,,,,1,0,,1040,1,"2017-02-01 00:43:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user44,user44,user44@cap-collectif.com,Oui,,,firstname44,lastname44,,,,,,,1,0,,1041,1,"2017-02-01 00:44:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user45,user45,user45@cap-collectif.com,Oui,,,firstname45,lastname45,,,,,,,1,0,,1042,1,"2017-02-01 00:45:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user46,user46,user46@cap-collectif.com,Oui,,,firstname46,lastname46,,,,,,,1,0,,1043,1,"2017-02-01 00:46:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user47,user47,user47@cap-collectif.com,Oui,,,firstname47,lastname47,,,,,,,1,0,,1044,1,"2017-02-01 00:47:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user48,user48,user48@cap-collectif.com,Oui,,,firstname48,lastname48,,,,,,,1,0,,1045,1,"2017-02-01 00:48:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user49,user49,user49@cap-collectif.com,Oui,,,firstname49,lastname49,,,,,,,1,0,,1046,1,"2017-02-01 00:49:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
export_contribution_type_proposal_vote,user50,user50,user50@cap-collectif.com,Oui,,,firstname50,lastname50,,,,,,,1,0,,1047,1,"2017-02-01 00:50:00","""1-3""","Installation de bancs sur la place de la mairie",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/installation-de-bancs-sur-la-place-de-la-mairie?_locale=fr-FR,,,,,,,,,,,,,,,,,,,,,,,,
