export_contribution_type,export_contribution_id,export_contribution_author_id,export_contribution_published_at,export_contribution_published,export_contribution_author,export_contribution_author_email,export_contribution_author_phone,export_contribution_created_at,export_contribution_updated_at,export_contribution_anonymous,export_contribution_draft,export_contribution_undraft_at,export_contribution_account,export_contribution_no_account_email,export_contribution_no_account_email_confirmed,export_contribution_internal_comm,"Comment trouvez-vous cette présentation ?","Êtes-vous satisfait que la ville de Paris soit candidate à l'organisation des JO de 2024 ?","Pour quel type d'épreuve êtes vous prêt à acheter des places ?","Quel est ton athlète favori ?","Nelson Monfort parle-t-il:","Classez vos choix","Choissez le meilleur logo","Est-ce que Martoni a encore une balle dans son chargeur ?","Est-ce que Martoni a encore une balle dans son chargeur ? (1)","Nouvelle section 1","Nouvelle section 2","Comment trouvez vous le jeu de weeb Genshin Impact ?","Votre catégorie socio-professionnel"
export_contribution_type_questionnaire_reply,tagCloudReply13,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Une autre phrase, parce que le mot phrase il va finir par pas mal remonté au final dans toutes ces réponses qui sont censées être liées au sport. Mais bon a cause du covid y'a plus trop de sport en vrai ou alors tu en fait à la maison mais c'est un peu ghetto quand même tu trouve pas ?","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. B",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply14,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"D'ailleurs en parlant de sports et de sportifs, je suis toujours aussi dégouté que l'escalade ce soit toujours fermé ça se trouve en 2024 ça aurait pu être moi aux JO à flex sur des murs de fou la. Je continue à remplir un peu cette ligne histoire de faire genre je suis une longue phrase de sportif.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. G",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply15,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Et une petite dernière pour la route quand même juste pour vous demandez comment vous allez ? Et la je rajoute des petits mots clés tels que : sportifs, sport, JO, athlètes, beurre de cacahuète, bruit, divertissement, sirop d'érable, une bouteille d'huile et des raviolis mais je crois que je viens de lire ma liste de course en même temps.","Athlétisme, Sports collectifs, Bon chance Agui pour le nuage de mots. !",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply2,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Oui c'est vraiment trop cool.","Athlétisme, Sports collectifs, Total War: Three Kingdoms ",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply3,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Ca va être fou ! Des sportifs de hauts niveaux.","Athlétisme, Sports collectifs, Total War Saga: Troy",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply4,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"C'est génial ! On va se régaler. mais","Athlétisme, Sports collectifs, Total War: Warhammer",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply5,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Il va y avoir du divertissement ! Et des sportifs ou !","Athlétisme, Sports collectifs, Total War: Rome",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply6,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Incroyable ! Tout ces sportifs la wow. est","Athlétisme, Sports collectifs, Total War: Britannia",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply7,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Bof, non pas trop ça va faire du bruit Donc !","Athlétisme, Sports collectifs, Total War 3: Warhammer",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply8,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Pas trop non plus, j'aime pas le sport. or","Athlétisme, Sports collectifs, Plus d'idées de jeux.",,,,,,,,,,
export_contribution_type_questionnaire_reply,tagCloudReply9,user150,"2020-01-12 00:00:00",Oui,user150,user150@cap-collectif.com,,"2020-01-12 00:00:00","2020-02-12 00:00:00",Non,Non,"2020-01-12 00:00:00",Oui,,,Oui,,"Le sport c'est cool","Athlétisme, Sports collectifs, Un jeu stylé de fou.",,,,,,,,,,
export_contribution_type_questionnaire_reply,reply7,user_not_confirmed,,Non,user_not_confirmed,user_not_confirmed@test.com,+33628353289,"2016-03-07 00:00:00","2019-03-07 00:00:00",Non,Non,"2016-03-07 00:00:00",Non,,,Non,"Au top","Trop cool ! On va voir Tibo qui cours en slip !",,,,,,Oui,,,,,
export_contribution_type_questionnaire_reply,reply2,userAdmin,"2016-03-02 00:00:00",Oui,admin,admin@test.com,+33675492871,"2016-03-02 00:00:00","2019-03-02 00:00:00",Non,Non,"2016-03-02 00:00:00",Oui,,,Non,"Au top","Youpi ! J'adore des JO","Natation, Sports collectifs, Civilization 6","Maxime Arrouard","Assez fort (Mon sonotone est mal réglé)",,"Logo 1","Il bluffe","Il bluffe",,,very-well,"Sans profession"
export_contribution_type_questionnaire_reply,replyMajority10,user10,"2016-03-02 00:00:00",Oui,user10,user10@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority11,user11,"2016-03-02 00:00:00",Oui,user11,user11@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority12,user12,"2016-03-02 00:00:00",Oui,user12,user12@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority13,user13,"2016-03-02 00:00:00",Oui,user13,user13@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority14,user14,"2016-03-02 00:00:00",Oui,user14,user14@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority15,user15,"2016-03-02 00:00:00",Oui,user15,user15@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-well,
export_contribution_type_questionnaire_reply,replyMajority16,user16,"2016-03-02 00:00:00",Oui,user16,user16@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-passable,
export_contribution_type_questionnaire_reply,replyMajority17,user17,"2016-03-02 00:00:00",Oui,user17,user17@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-passable,
export_contribution_type_questionnaire_reply,replyMajority18,user18,"2016-03-02 00:00:00",Oui,user18,user18@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-not-passable,
export_contribution_type_questionnaire_reply,replyMajority19,user19,"2016-03-02 00:00:00",Oui,user19,user19@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-not-passable,
export_contribution_type_questionnaire_reply,replyMajority20,user20,"2016-03-02 00:00:00",Oui,user20,user20@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,global-not-passable,
export_contribution_type_questionnaire_reply,replyMajority6,user6,"2016-03-02 00:00:00",Oui,user6,user6@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority7,user7,"2016-03-02 00:00:00",Oui,user7,user7@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority8,user8,"2016-03-02 00:00:00",Oui,user8,user8@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,replyMajority9,user9,"2016-03-02 00:00:00",Oui,user9,user9@cap-collectif.com,,"2016-03-02 00:00:00","2016-03-02 00:00:00",Non,Non,,Oui,,,Oui,,,,,,,,,,,,very-well,
export_contribution_type_questionnaire_reply,reply6,user515,"2016-03-06 00:00:00",Oui,user_updating_email,user_updating_email@test.com,,"2016-03-06 00:00:00","2019-03-06 00:00:00",Non,Non,"2016-03-06 00:00:00",Oui,,,Non,Incohérente,,,,"Pas assez fort (Mon sonotone est en panne)",,,,,,,,"Profession libérale"
