export_contribution_type,export_participant_user_id,export_participant_username,export_participant_user_email,export_participant_consent_internal_communication,export_participant_phone,export_participant_type,export_participant_firstname,export_participant_lastname,export_participant_date_of_birth,export_participant_postal_address,export_participant_zip_code,export_participant_city,export_participant_profile_url,export_participant_identification_code,export_user_total_proposals,user_votes_proposal_ids,export_proposal_reference,export_proposal_title,export_proposal_link,export_proposal_id,export_proposal_published_at,export_proposal_summary,export_proposal_description,export_proposal_category_name,export_proposal_theme_title,export_proposal_formatted_address,export_proposal_address_lat,export_proposal_address_lng,export_proposal_district_name,"Nouvelle section 3","Evaluez l'importance de votre proposition","Evaluez le coût de votre proposition",Documents,Bilans,export_proposal_estimation,export_proposal_illustration,export_proposal_status_name
export_contribution_type_proposal,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,4,,"""1-11""","Proposition brouillon 3",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-3?_locale=fr-FR,proposal21,,,TODO,,Justice,,,,"Maurepas Patton",,,,,,,,
export_contribution_type_proposal,user522,johnsmith,john.smith@england.uk,Non,,Citoyen,John,Smith,,,,,https://capco.dev/profile/johnsmith,,1,,"""1-12""","Renovation of the gymnasium",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/renovation-of-the-gymnasium?_locale=fr-FR,proposal108,"2017-02-01 00:03:00",,"We will do a grat gymnasium, i swear !",Aménagement,Transport,,,,"Nord Saint-Martin",,,,,,,,Approuvé
export_contribution_type_proposal,userNotConfirmedWithContributions,userNotConfirmedWithContributions,userNotConfirmedWithContributions@test.com,Non,,Citoyen,userNotConfirmedWithContributions,userNotConfirmedWithContributions,,,,,https://capco.dev/profile/usernotconfirmedwithcontributions,,0,,"""1-35""","Proposition 35 non publiée",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-35-non-publiee?_locale=fr-FR,proposal35,,,TODO,Aménagement,Transport,"263 Avenue Général Leclerc, 35700 Rennes, France",48.119109,-1.6447289,"Nord Saint-Martin",,,,,,,,Approuvé
export_contribution_type_proposal,userNotConfirmedWithContributions,userNotConfirmedWithContributions,userNotConfirmedWithContributions@test.com,Non,,Citoyen,userNotConfirmedWithContributions,userNotConfirmedWithContributions,,,,,https://capco.dev/profile/usernotconfirmedwithcontributions,,0,,"""1-102""","Proposition brouillon avec un auteur non confirmé",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/proposition-brouillon-avec-un-auteur-non-confirme?_locale=fr-FR,proposalDraftWithNotConfirmedAuthor,,,TODO,,Justice,,,,"Maurepas Patton",,,,,,,,
export_contribution_type_proposal,userAdmin,admin,admin@test.com,Non,+33675492871,Citoyen,Administrateur,authentifier,,"26 Rue Claude Tillier, 75012 Paris, France",,,https://capco.dev/profile/admin,,4,,"""1-1104""","Test de publication avec accusé de réception",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/test-de-publication-avec-accuse-de-reception?_locale=fr-FR,proposal104,"2018-04-11 00:00:00",,TODO,,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6661""","Trashed proposal invisible 1",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-1?_locale=fr-FR,proposalTrashedInvisible1,"2019-03-02 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6662""","Trashed proposal invisible 2",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-2?_locale=fr-FR,proposalTrashedInvisible2,"2019-03-03 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6663""","Trashed proposal invisible 3",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-3?_locale=fr-FR,proposalTrashedInvisible3,"2019-03-04 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6664""","Trashed proposal invisible 4",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-4?_locale=fr-FR,proposalTrashedInvisible4,"2019-03-05 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6665""","Trashed proposal invisible 5",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-5?_locale=fr-FR,proposalTrashedInvisible5,"2019-03-06 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6666""","Trashed proposal invisible 6",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-6?_locale=fr-FR,proposalTrashedInvisible6,"2019-03-07 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6667""","Trashed proposal invisible 7",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-7?_locale=fr-FR,proposalTrashedInvisible7,"2019-03-08 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6668""","Trashed proposal invisible 8",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-8?_locale=fr-FR,proposalTrashedInvisible8,"2019-03-09 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-6669""","Trashed proposal invisible 9",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-9?_locale=fr-FR,proposalTrashedInvisible9,"2019-03-10 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6671""","Trashed proposal visible 1",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-1?_locale=fr-FR,proposalTrashedVisible1,"2017-02-02 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6672""","Trashed proposal visible 2",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-2?_locale=fr-FR,proposalTrashedVisible2,"2017-02-03 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6673""","Trashed proposal visible 3",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-3?_locale=fr-FR,proposalTrashedVisible3,"2017-02-04 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6674""","Trashed proposal visible 4",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-4?_locale=fr-FR,proposalTrashedVisible4,"2017-02-05 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6675""","Trashed proposal visible 5",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-5?_locale=fr-FR,proposalTrashedVisible5,"2017-02-06 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6676""","Trashed proposal visible 6",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-6?_locale=fr-FR,proposalTrashedVisible6,"2017-02-07 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6677""","Trashed proposal visible 7",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-7?_locale=fr-FR,proposalTrashedVisible7,"2017-02-08 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6678""","Trashed proposal visible 8",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-8?_locale=fr-FR,proposalTrashedVisible8,"2017-02-09 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user1,lbrunet,lbrunet@cap-collectif.com,Oui,+3300000000,Citoyen,Laurent,Brunet,,,,,https://capco.dev/profile/lbrunet,,50,,"""1-6679""","Trashed proposal visible 9",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-visible-9?_locale=fr-FR,proposalTrashedVisible9,"2017-02-10 00:23:00",,"I deserve to be trashed !",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66610""","Trashed proposal invisible 10",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-10?_locale=fr-FR,proposalTrashedInvisible10,"2019-03-11 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66611""","Trashed proposal invisible 11",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-11?_locale=fr-FR,proposalTrashedInvisible11,"2019-03-12 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66612""","Trashed proposal invisible 12",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-12?_locale=fr-FR,proposalTrashedInvisible12,"2019-03-13 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66613""","Trashed proposal invisible 13",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-13?_locale=fr-FR,proposalTrashedInvisible13,"2019-03-14 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66614""","Trashed proposal invisible 14",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-14?_locale=fr-FR,proposalTrashedInvisible14,"2019-03-15 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66615""","Trashed proposal invisible 15",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-15?_locale=fr-FR,proposalTrashedInvisible15,"2019-03-16 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66616""","Trashed proposal invisible 16",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-16?_locale=fr-FR,proposalTrashedInvisible16,"2019-03-17 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66617""","Trashed proposal invisible 17",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-17?_locale=fr-FR,proposalTrashedInvisible17,"2019-03-18 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66618""","Trashed proposal invisible 18",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-18?_locale=fr-FR,proposalTrashedInvisible18,"2019-03-19 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66619""","Trashed proposal invisible 19",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-19?_locale=fr-FR,proposalTrashedInvisible19,"2019-03-20 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66620""","Trashed proposal invisible 20",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-20?_locale=fr-FR,proposalTrashedInvisible20,"2019-03-21 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66621""","Trashed proposal invisible 21",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-21?_locale=fr-FR,proposalTrashedInvisible21,"2019-03-22 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66622""","Trashed proposal invisible 22",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-22?_locale=fr-FR,proposalTrashedInvisible22,"2019-03-23 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66623""","Trashed proposal invisible 23",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-23?_locale=fr-FR,proposalTrashedInvisible23,"2019-03-24 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66624""","Trashed proposal invisible 24",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-24?_locale=fr-FR,proposalTrashedInvisible24,"2019-03-25 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66625""","Trashed proposal invisible 25",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-25?_locale=fr-FR,proposalTrashedInvisible25,"2019-03-26 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66626""","Trashed proposal invisible 26",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-26?_locale=fr-FR,proposalTrashedInvisible26,"2019-03-27 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66627""","Trashed proposal invisible 27",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-27?_locale=fr-FR,proposalTrashedInvisible27,"2019-03-28 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66628""","Trashed proposal invisible 28",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-28?_locale=fr-FR,proposalTrashedInvisible28,"2019-03-29 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66629""","Trashed proposal invisible 29",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-29?_locale=fr-FR,proposalTrashedInvisible29,"2019-03-30 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66630""","Trashed proposal invisible 30",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-30?_locale=fr-FR,proposalTrashedInvisible30,"2019-03-31 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66631""","Trashed proposal invisible 31",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-31?_locale=fr-FR,proposalTrashedInvisible31,"2019-04-01 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66632""","Trashed proposal invisible 32",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-32?_locale=fr-FR,proposalTrashedInvisible32,"2019-04-02 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
export_contribution_type_proposal,user2,sfavot,sfavot@cap-collectif.com,Non,+3300000000,Citoyen,Suzanne,Favot,,,,Antony,https://capco.dev/profile/sfavot,,50,,"""1-66633""","Trashed proposal invisible 33",https://capco.dev/project/budget-participatif-rennes/collect/collecte-des-propositions/proposals/trashed-proposal-invisible-33?_locale=fr-FR,proposalTrashedInvisible33,"2019-04-03 00:23:00",,"I am not visible because I contains some bad words",,,,,,,,,,,,,,
